tour,player_name,serve_pts,serve_pts_won,return_pts,return_pts_won,serve_win_pct,return_win_pct,total_win_pct,ras_slow,ras_medium,ras_fast,n_slow,n_medium,n_fast,body_return_pts,cluster,PC1,PC2
WTA,A. Barty,1534,987,1555,704,0.6434159061277706,0.4527331189710611,0.5474263515700875,,,,,,,,,,
WTA,A. Kerber,1299,779,1357,659,0.5996920708237106,0.48563006632277084,0.5414156626506024,,,,,,,,,,
WTA,A. Kontaveit,1163,662,1181,554,0.5692175408426483,0.4690939881456393,0.5187713310580204,,,,,,,,,,
WTA,A. Pavlyuchenkova,1191,697,1220,532,0.5852225020990764,0.4360655737704918,0.5097469929489838,,,,,,,,,,
WTA,Agnieszka Radwanska,1096,650,1083,483,0.593065693430657,0.44598337950138506,0.5199632859109683,0.9572192513368984,0.961038961038961,0.9124087591240876,187.0,154.0,137.0,478.0,3.0,0.2575167775775542,0.0018301920764442479
WTA,Ajla Tomljanovic,2271,1260,2163,944,0.5548216644649934,0.4364308830328248,0.4970681100586378,0.9771241830065359,0.9736842105263158,0.8928571428571429,306.0,228.0,168.0,702.0,3.0,0.5397057513704783,0.6061961801951457
WTA,Aliaksandra Sasnovich,1725,924,1808,789,0.5356521739130434,0.43639380530973454,0.4848570619869799,0.9575757575757575,0.9428571428571428,0.9375,165.0,210.0,160.0,535.0,4.0,0.24793965314173583,-0.23460712613839696
WTA,Alison Riske,1574,888,1630,700,0.5641677255400254,0.4294478527607362,0.49563046192259674,0.9636363636363636,0.9503105590062112,0.9342105263157895,165.0,161.0,152.0,478.0,3.0,0.4097743399442018,-0.08560147924738275
WTA,Alison Van Uytvanck,1420,803,1380,561,0.5654929577464789,0.40652173913043477,0.48714285714285716,0.9613259668508287,0.95625,0.9624060150375939,181.0,160.0,133.0,474.0,1.0,0.7285311115455897,-0.45088958190548467
WTA,Amanda Anisimova,1226,716,1269,540,0.5840130505709625,0.425531914893617,0.5034068136272545,0.9664804469273743,0.9415584415584416,0.937984496124031,179.0,154.0,129.0,462.0,3.0,0.36499987092952096,-0.05349740797365915
WTA,Ana Bogdan,1471,844,1496,604,0.5737593473827328,0.4037433155080214,0.4880350522413212,1.0,0.9797979797979798,0.9553571428571429,88.0,99.0,112.0,299.0,1.0,1.5581999553409331,0.38742108699547456
WTA,Anastasia Pavlyuchenkova,1881,1100,1789,805,0.5847953216374269,0.44997205142537733,0.5190735694822888,0.9649122807017544,0.9476744186046512,0.954337899543379,228.0,172.0,219.0,619.0,3.0,0.5839376669436306,-0.2744917615008585
WTA,Anastasia Potapova,1251,706,1215,507,0.5643485211830536,0.41728395061728396,0.49188969991889697,0.9906542056074766,0.9595959595959596,0.9479166666666666,107.0,99.0,96.0,302.0,3.0,1.067101601648781,0.3085607688671855
WTA,Anastasija Sevastova,1958,1135,1908,868,0.5796731358529111,0.4549266247379455,0.5181065700982929,0.9563318777292577,0.9344262295081968,0.9226804123711341,229.0,183.0,194.0,606.0,4.0,-0.03000425533015491,-0.08471801506124726
WTA,Andrea Petkovic,1156,627,1147,507,0.5423875432525952,0.4420226678291194,0.49240121580547114,0.9,0.9295774647887324,0.9175257731958762,160.0,142.0,97.0,399.0,6.0,-0.9734590914536746,-1.1860787648304933
