tour,player_name,ras_slow,ras_medium,ras_fast,n_slow,n_medium,n_fast,body_return_pts,cluster,PC1,PC2
WTA,Agnieszka Radwanska,0.9572192513368984,0.961038961038961,0.9124087591240876,187,154,137,478,3,0.2575167775775542,0.0018301920764442479
WTA,Ajla Tomljanovic,0.9771241830065359,0.9736842105263158,0.8928571428571429,306,228,168,702,3,0.5397057513704783,0.6061961801951457
WTA,Aleksandra Krunic,0.9895833333333334,0.9069767441860465,0.9583333333333334,96,43,72,211,4,0.4140904841041922,0.2595357507679503
WTA,Alexandra Dulgheru,0.9166666666666666,1.0,0.8666666666666667,12,19,30,61,6,-0.22889479263012227,-0.4023895961536447
WTA,Aliaksandra Sasnovich,0.9575757575757575,0.9428571428571428,0.9375,165,210,160,535,4,0.24793965314173583,-0.23460712613839696
WTA,Aliona Bolsova,1.0,0.9565217391304348,0.9,19,23,20,62,3,0.7031840473506279,1.0299049594801426
WTA,Alison Riske,0.9636363636363636,0.9503105590062112,0.9342105263157895,165,161,152,478,3,0.4097743399442018,-0.08560147924738275
WTA,Alison Riske Amritraj,1.0,0.9908256880733946,1.0,135,109,51,295,1,2.1392926816839126,-0.1179367892392107
WTA,Alison Van Uytvanck,0.9613259668508287,0.95625,0.9624060150375939,181,160,133,474,1,0.7285311115455897,-0.45088958190548467
WTA,Alize Cornet,0.972972972972973,0.9487179487179487,0.9340659340659341,37,78,91,206,3,0.5230419000567328,0.11179524551480848
WTA,Alizé Cornet,0.9575757575757575,0.9896907216494846,0.9523809523809523,165,97,84,346,1,1.0460000915486227,-0.47425643280287294
WTA,Alycia Parks,0.9545454545454546,0.9,0.8333333333333334,44,20,12,76,5,-1.3922158220449714,0.9101109888318973
WTA,Amanda Anisimova,0.9664804469273743,0.9415584415584416,0.937984496124031,179,154,129,462,3,0.36499987092952096,-0.05349740797365915
WTA,Ana Bogdan,1.0,0.9797979797979798,0.9553571428571429,88,99,112,299,1,1.5581999553409331,0.38742108699547456
WTA,Ana Konjuh,0.8913043478260869,0.8953488372093024,0.9047619047619048,46,86,63,195,2,-1.7023212512126313,-1.1702553612772941
WTA,Anastasia Pavlyuchenkova,0.9649122807017544,0.9476744186046512,0.954337899543379,228,172,219,619,3,0.5839376669436306,-0.2744917615008585
WTA,Anastasia Potapova,0.9906542056074766,0.9595959595959596,0.9479166666666666,107,99,96,302,3,1.067101601648781,0.3085607688671855
WTA,Anastasija Sevastova,0.9563318777292577,0.9344262295081968,0.9226804123711341,229,183,194,606,4,-0.03000425533015491,-0.08471801506124726
WTA,Andrea Petkovic,0.9,0.9295774647887324,0.9175257731958762,160,142,97,399,6,-0.9734590914536746,-1.1860787648304933
WTA,Anett Kontaveit,0.9613259668508287,0.96875,0.9572192513368984,181,160,187,528,1,0.8540046725616661,-0.4149100681950877
WTA,Angelique Kerber,0.9572953736654805,0.9638095238095238,0.9629629629629629,562,525,486,1573,1,0.7805928205691728,-0.5528384905446306
WTA,Anhelina Kalinina,0.9536423841059603,0.9689922480620154,0.9615384615384616,151,129,78,358,1,0.7859722607057212,-0.6214305268933978
WTA,Ann Li,0.9393939393939394,0.9868421052631579,0.9705882352941176,66,76,34,176,1,0.9134261261332831,-1.0444593795012538
WTA,Anna Blinkova,0.9587628865979382,0.9285714285714286,0.9066666666666666,97,70,75,242,4,-0.22938204091323988,0.14999275638613843
WTA,Anna Bondar,1.0,1.0,1.0,17,39,37,93,1,2.2677660827375945,-0.13307153749212242
WTA,Anna Kalinskaya,0.979381443298969,0.9823008849557522,0.9333333333333333,97,113,90,300,3,1.0803233117066027,0.19699139668998553
