tour,player_name,ras_slow,ras_medium,ras_fast,n_slow,n_medium,n_fast,body_return_pts
ATP,Adam Walton,0.9393939393939394,1.0,1.0,33,28,14,75
ATP,Adrian Mannarino,0.9601226993865031,0.8976982097186701,0.8733333333333333,326,391,300,1017
ATP,Albert Ramos Vinolas,0.9555555555555556,0.944,0.9158878504672897,135,250,214,599
ATP,Alejandro Davidovich Fokina,0.9742765273311897,0.964,0.9156626506024096,311,250,249,810
ATP,Alejandro Tabilo,0.958904109589041,0.9423076923076923,0.9487179487179487,73,104,39,216
ATP,Aleksandar Kovacevic,0.9411764705882353,1.0,0.967741935483871,34,19,31,84
ATP,Aleksandar Vukic,1.0,0.8888888888888888,0.9354838709677419,26,18,31,75
ATP,Alex Bolt,0.9354838709677419,0.9649122807017544,0.8863636363636364,62,57,44,163
ATP,Alex De Minaur,0.9863013698630136,0.9441860465116279,0.9380952380952381,146,215,210,571
ATP,Alex Michelsen,1.0,0.9076923076923077,1.0,72,65,42,179
ATP,Alex Molcan,0.9811320754716981,0.9866666666666667,0.9024390243902439,106,75,82,263
ATP,Alex de Minaur,0.9735849056603774,0.9536082474226805,0.9631728045325779,530,388,353,1271
ATP,Alexander Bublik,0.9384615384615385,0.905982905982906,0.9272030651340997,260,234,261,755
ATP,Alexander Ritschard,1.0,0.9428571428571428,0.9298245614035088,27,35,57,119
ATP,Alexander Shevchenko,0.98,0.9818181818181818,0.9487179487179487,50,55,39,144
ATP,Alexander Zverev,0.9727371864776445,0.9398340248962656,0.8729166666666667,917,964,960,2841
ATP,Alexandr Dolgopolov,0.9130434782608695,0.898876404494382,0.8450704225352113,46,89,71,206
ATP,Alexandre Muller,0.9821428571428571,0.9861111111111112,0.9393939393939394,56,72,99,227
ATP,Alexei Popyrin,0.9644128113879004,0.9406392694063926,0.9017341040462428,281,219,173,673
ATP,Aljaz Bedene,0.9855072463768116,0.8656716417910447,0.6407766990291263,69,67,103,239
ATP,Andreas Seppi,0.9575471698113207,0.8848484848484849,0.8658008658008658,212,165,231,608
ATP,Andrey Kuznetsov,0.9036144578313253,0.8703703703703703,0.7727272727272727,83,54,44,181
ATP,Andrey Rublev,0.9726443768996961,0.9417758369723436,0.8978328173374613,658,687,646,1991
ATP,Andy Murray,0.9281437125748503,0.9276437847866419,0.8937007874015748,501,539,508,1548
ATP,Antoine Hoang,0.7916666666666666,0.7777777777777778,0.9285714285714286,24,18,14,56
ATP,Arthur Cazaux,0.9807692307692307,0.9782608695652174,1.0,52,46,23,121
ATP,Arthur Fils,0.9833333333333333,0.9607843137254902,0.9316239316239316,120,153,117,390
ATP,Arthur Rinderknech,0.9481132075471698,0.9246575342465754,0.900709219858156,212,146,141,499
ATP,Aslan Karatsev,0.9497716894977168,0.9065934065934066,0.8904109589041096,219,182,146,547
ATP,Ben Shelton,0.9680851063829787,0.9803921568627451,0.92018779342723,188,204,213,605
ATP,Benjamin Bonzi,0.967479674796748,0.911504424778761,0.9537037037037037,123,113,108,344
ATP,Benoit Paire,0.8666666666666667,0.8893280632411067,0.8952879581151832,180,253,191,624
ATP,Bernabe Zapata Miralles,0.9795918367346939,0.9384615384615385,0.8484848484848485,98,65,99,262
ATP,Bernard Tomic,0.9619047619047619,0.9310344827586207,0.7647058823529411,105,145,102,352
ATP,Bjorn Fratangelo,0.9642857142857143,1.0,0.8235294117647058,28,10,17,55
ATP,Borna Coric,0.9649805447470817,0.9080459770114943,0.8592964824120602,257,174,199,630
ATP,Borna Gojo,0.9791666666666666,0.9661016949152542,0.9777777777777777,48,59,45,152
ATP,Botic Van De Zandschulp,0.9772727272727273,0.9157303370786517,0.925531914893617,132,178,94,404
ATP,Botic van De Zandschulp,1.0,0.9731543624161074,0.9659090909090909,159,149,88,396
ATP,Bradley Klahn,0.9285714285714286,0.8387096774193549,0.8787878787878788,28,31,33,92
ATP,Brandon Holt,1.0,0.9743589743589743,0.9743589743589743,67,39,39,145
ATP,Brandon Nakashima,0.9773584905660377,0.9585253456221198,0.9224137931034483,265,217,232,714
ATP,Cameron Norrie,0.951171875,0.9072164948453608,0.9035874439461884,512,485,446,1443
ATP,Carlos Alcaraz,0.9789272030651341,0.9751381215469613,0.9217638691322901,522,724,703,1949
ATP,Carlos Taberner,1.0,0.9333333333333333,0.92,13,15,25,53
ATP,Casper Ruud,0.9801192842942346,0.9508196721311475,0.9119318181818182,503,427,352,1282
ATP,Christopher Eubanks,0.9793103448275862,0.9077669902912622,0.9310344827586207,145,206,174,525
ATP,Christopher O'Connell,0.9539473684210527,0.8840579710144928,0.8531073446327684,152,138,177,467
ATP,Corentin Moutet,0.9936708860759493,0.8841463414634146,0.935672514619883,158,164,171,493
ATP,Cristian Garin,0.9387755102040817,0.8978102189781022,0.918918918918919,245,137,185,567
ATP,Damir Dzumhur,0.9662921348314607,0.875,0.896551724137931,89,56,87,232
ATP,Daniel Altmaier,0.9722222222222222,0.9411764705882353,0.953125,108,51,64,223
ATP,Daniel Elahi Galan,1.0,0.963963963963964,0.941747572815534,97,111,103,311
ATP,Daniel Evans,0.9642857142857143,0.9253393665158371,0.91,532,442,500,1474
ATP,Daniil Medvedev,0.9562706270627063,0.9035714285714286,0.8484848484848485,1212,840,759,2811
ATP,Darian King,1.0,1.0,0.9629629629629629,21,21,27,69
ATP,David Ferrer,0.9285714285714286,0.8902439024390244,0.8378378378378378,112,82,74,268
ATP,David Goffin,0.9669565217391304,0.92018779342723,0.8605504587155963,575,426,545,1546
ATP,Denis Istomin,0.979381443298969,0.9302325581395349,0.9047619047619048,97,43,84,224
ATP,Denis Kudla,1.0,0.952,0.8910891089108911,65,125,101,291
ATP,Denis Shapovalov,0.9320754716981132,0.9027777777777778,0.8602941176470589,530,576,544,1650
ATP,Dennis Novak,0.9,0.96,0.8333333333333334,10,25,42,77
ATP,Diego Schwartzman,0.9724409448818898,0.9557109557109557,0.9168443496801706,508,429,469,1406
ATP,Dominic Stricker,1.0,0.9675324675324676,0.9098360655737705,59,154,122,335
ATP,Dominic Thiem,0.9448946515397083,0.9090909090909091,0.8770343580470162,617,528,553,1698
ATP,Dominik Koepfer,0.8785046728971962,0.9259259259259259,0.8888888888888888,107,162,99,368
ATP,Donald Young,0.8484848484848485,0.9390243902439024,0.813953488372093,33,82,43,158
ATP,Dudi Sela,1.0,0.7352941176470589,0.703125,10,34,64,108
ATP,Dusan Lajovic,0.945273631840796,0.875,0.8538011695906432,201,176,171,548
ATP,Dustin Brown,0.9411764705882353,0.9583333333333334,0.8695652173913043,34,24,23,81
ATP,Egor Gerasimov,1.0,0.8571428571428571,0.8571428571428571,21,28,28,77
ATP,Elias Ymer,0.9565217391304348,0.9130434782608695,0.8064516129032258,23,46,31,100
ATP,Emil Ruusuvuori,1.0,0.9540229885057471,0.94,63,87,100,250
ATP,Emilio Nava,0.9900990099009901,0.96,0.9324324324324325,101,50,74,225
ATP,Enzo Couacaud,0.95,1.0,0.8767123287671232,20,25,73,118
ATP,Ernesto Escobedo,0.9493670886075949,0.9014084507042254,0.9782608695652174,79,71,46,196
ATP,Ernests Gulbis,0.9107142857142857,0.8225806451612904,0.8461538461538461,112,124,130,366
ATP,Evgeny Donskoy,1.0,0.9142857142857143,0.8076923076923077,11,35,52,98
ATP,Fabian Marozsan,0.9659090909090909,0.9868421052631579,0.9473684210526315,88,76,57,221
ATP,Fabio Fognini,0.9498207885304659,0.9352112676056338,0.8673740053050398,279,355,377,1011
ATP,Facundo Bagnis,0.9428571428571428,0.95,0.9056603773584906,105,80,53,238
ATP,Facundo Diaz Acosta,0.9655172413793104,0.9166666666666666,0.9428571428571428,58,36,35,129
ATP,Federico Coria,0.9428571428571428,0.9298245614035088,0.9428571428571428,70,57,70,197
ATP,Federico Delbonis,0.927536231884058,0.8727272727272727,0.7884615384615384,69,55,52,176
ATP,Feliciano Lopez,0.9625,0.8816568047337278,0.8306451612903226,160,169,124,453
ATP,Felipe Meligeni Alves,1.0,0.96,1.0,38,50,15,103
ATP,Felix Auger Aliassime,0.9560723514211886,0.9280898876404494,0.8623655913978494,387,445,465,1297
ATP,Fernando Verdasco,0.9378531073446328,0.9663461538461539,0.8888888888888888,177,208,225,610
